Date,Vteam,VPTS,Hteam,HPTS
2016-11-13 09:00:00,Denver Nuggets,105.0,Portland Trail Blazers,112.0
2016-11-14 07:00:00,Orlando Magic,69.0,Indiana Pacers,88.0
2016-11-14 07:30:00,Oklahoma City Thunder,88.0,Detroit Pistons,104.0
2016-11-14 07:30:00,Dallas Mavericks,77.0,New York Knicks,93.0
2016-11-14 08:00:00,Philadelphia 76ers,88.0,Houston Rockets,115.0
2016-11-14 08:00:00,Boston Celtics,105.0,New Orleans Pelicans,106.0
2016-11-14 08:30:00,Miami Heat,90.0,San Antonio Spurs,94.0
2016-11-14 09:00:00,Memphis Grizzlies,102.0,Utah Jazz,96.0
2016-11-14 10:30:00,Brooklyn Nets,95.0,Los Angeles Clippers,127.0
2016-11-15 07:00:00,Toronto Raptors,117.0,Cleveland Cavaliers,121.0
2016-11-15 07:30:00,Atlanta Hawks,93.0,Miami Heat,90.0
2016-11-15 08:00:00,Charlotte Hornets,115.0,Minnesota Timberwolves,108.0
2016-11-15 10:00:00,Chicago Bulls,113.0,Portland Trail Blazers,88.0
2016-11-15 10:30:00,Brooklyn Nets,118.0,Los Angeles Lakers,125.0
2016-11-16 07:00:00,Cleveland Cavaliers,93.0,Indiana Pacers,103.0
2016-11-16 07:00:00,New Orleans Pelicans,82.0,Orlando Magic,89.0
2016-11-16 07:00:00,Washington Wizards,102.0,Philadelphia 76ers,109.0
2016-11-16 07:30:00,Milwaukee Bucks,100.0,Atlanta Hawks,107.0
2016-11-16 07:30:00,Dallas Mavericks,83.0,Boston Celtics,90.0
2016-11-16 07:30:00,Detroit Pistons,102.0,New York Knicks,105.0
2016-11-16 08:00:00,Golden State Warriors,127.0,Toronto Raptors,121.0
2016-11-16 08:00:00,Houston Rockets,103.0,Oklahoma City Thunder,105.0
2016-11-16 09:00:00,Phoenix Suns,104.0,Denver Nuggets,120.0
2016-11-16 10:30:00,San Antonio Spurs,110.0,Sacramento Kings,105.0
2016-11-16 10:30:00,Memphis Grizzlies,111.0,Los Angeles Clippers,107.0
2016-11-17 07:00:00,New York Knicks,112.0,Washington Wizards,119.0
2016-11-17 07:30:00,Milwaukee Bucks,73.0,Miami Heat,96.0
2016-11-17 08:00:00,Portland Trail Blazers,109.0,Houston Rockets,126.0
2016-11-17 08:00:00,Philadelphia 76ers,86.0,Minnesota Timberwolves,110.0
2016-11-17 10:30:00,Chicago Bulls,85.0,Utah Jazz,77.0
2016-11-18 07:00:00,Atlanta Hawks,96.0,Charlotte Hornets,100.0
2016-11-18 07:00:00,Phoenix Suns,116.0,Indiana Pacers,96.0
2016-11-18 07:30:00,Detroit Pistons,81.0,Cleveland Cavaliers,104.0
2016-11-18 08:00:00,Brooklyn Nets,105.0,Oklahoma City Thunder,124.0
2016-11-18 08:00:00,Portland Trail Blazers,101.0,New Orleans Pelicans,113.0
2016-11-18 08:00:00,Golden State Warriors,104.0,Boston Celtics,88.0
2016-11-18 08:30:00,Memphis Grizzlies,80.0,Dallas Mavericks,64.0
2016-11-18 09:00:00,Toronto Raptors,113.0,Denver Nuggets,111.0
2016-11-18 10:30:00,San Antonio Spurs,116.0,Los Angeles Lakers,107.0
2016-11-18 10:30:00,Los Angeles Clippers,121.0,Sacramento Kings,115.0
2016-11-19 05:00:00,Utah Jazz,102.0,Houston Rockets,111.0
2016-11-19 07:00:00,Miami Heat,114.0,Washington Wizards,111.0
2016-11-19 07:00:00,Boston Celtics,94.0,Detroit Pistons,92.0
2016-11-19 07:00:00,Charlotte Hornets,116.0,New Orleans Pelicans,121.0
2016-11-19 07:00:00,Dallas Mavericks,87.0,Orlando Magic,95.0
2016-11-19 07:30:00,Phoenix Suns,105.0,Philadelphia 76ers,120.0
2016-11-19 08:00:00,Minnesota Timberwolves,71.0,Memphis Grizzlies,93.0
2016-11-19 08:30:00,Golden State Warriors,124.0,Milwaukee Bucks,121.0
2016-11-19 10:30:00,Chicago Bulls,95.0,Los Angeles Clippers,102.0
2016-11-20 00:00:00,Atlanta Hawks,94.0,New York Knicks,104.0
2016-11-20 03:30:00,Portland Trail Blazers,129.0,Brooklyn Nets,109.0
2016-11-20 07:00:00,Indiana Pacers,115.0,Oklahoma City Thunder,111.0
2016-11-20 09:00:00,Toronto Raptors,99.0,Sacramento Kings,102.0
2016-11-20 09:00:00,Utah Jazz,91.0,Denver Nuggets,105.0
2016-11-20 09:30:00,Chicago Bulls,118.0,Los Angeles Lakers,110.0
2016-11-21 07:00:00,Phoenix Suns,101.0,Washington Wizards,106.0
2016-11-21 07:00:00,Memphis Grizzlies,105.0,Charlotte Hornets,90.0
2016-11-21 07:00:00,Golden State Warriors,120.0,Indiana Pacers,83.0
2016-11-21 07:00:00,Miami Heat,94.0,Philadelphia 76ers,101.0
2016-11-21 07:30:00,Houston Rockets,99.0,Detroit Pistons,96.0
2016-11-21 08:00:00,Boston Celtics,99.0,Minnesota Timberwolves,93.0
2016-11-21 08:00:00,Orlando Magic,89.0,Milwaukee Bucks,93.0
2016-11-21 08:30:00,Dallas Mavericks,91.0,San Antonio Spurs,96.0
2016-11-21 10:30:00,Toronto Raptors,115.0,Los Angeles Clippers,123.0
2016-11-22 07:30:00,New Orleans Pelicans,112.0,Atlanta Hawks,94.0
2016-11-22 07:30:00,Portland Trail Blazers,103.0,New York Knicks,107.0
2016-11-22 09:00:00,Chicago Bulls,107.0,Denver Nuggets,110.0
2016-11-22 10:30:00,Oklahoma City Thunder,109.0,Los Angeles Lakers,111.0
2016-11-23 07:00:00,Memphis Grizzlies,104.0,Philadelphia 76ers,99.0
2016-11-23 07:00:00,Phoenix Suns,92.0,Orlando Magic,87.0
2016-11-23 07:00:00,Atlanta Hawks,96.0,Indiana Pacers,85.0
2016-11-23 07:00:00,San Antonio Spurs,119.0,Charlotte Hornets,114.0
2016-11-23 07:00:00,Portland Trail Blazers,125.0,Cleveland Cavaliers,137.0
2016-11-23 07:30:00,Miami Heat,84.0,Detroit Pistons,107.0
2016-11-23 07:30:00,Boston Celtics,111.0,Brooklyn Nets,92.0
2016-11-23 08:00:00,Toronto Raptors,115.0,Houston Rockets,102.0
2016-11-23 08:30:00,Los Angeles Clippers,124.0,Dallas Mavericks,104.0
2016-11-23 09:00:00,Denver Nuggets,83.0,Utah Jazz,108.0
2016-11-23 09:30:00,Minnesota Timberwolves,96.0,New Orleans Pelicans,117.0
2016-11-23 10:30:00,Los Angeles Lakers,106.0,Golden State Warriors,149.0
2016-11-23 10:30:00,Oklahoma City Thunder,101.0,Sacramento Kings,116.0
2016-11-25 01:00:00,San Antonio Spurs,109.0,Boston Celtics,103.0
2016-11-25 07:00:00,Washington Wizards,94.0,Orlando Magic,91.0
2016-11-25 07:30:00,Dallas Mavericks,90.0,Cleveland Cavaliers,128.0
2016-11-25 07:30:00,Los Angeles Clippers,97.0,Detroit Pistons,108.0
2016-11-25 07:30:00,Chicago Bulls,105.0,Philadelphia 76ers,89.0
