Date,Time,Vteam,VPTS,Hteam,HPTS
Fri Mar 31 2017,8:00 PM,San Antonio Spurs,100,Oklahoma City Thunder,95
Fri Mar 31 2017,7:00 PM,Indiana Pacers,100,Toronto Raptors,111
Fri Mar 31 2017,9:00 PM,Washington Wizards,88,Utah Jazz,95
Sat Apr 1 2017,6:00 PM,Orlando Magic,111,Brooklyn Nets,121
Sat Apr 1 2017,5:00 PM,Atlanta Hawks,104,Chicago Bulls,106
Sat Apr 1 2017,3:30 PM,Los Angeles Lakers,104,Los Angeles Clippers,115
Sat Apr 1 2017,8:00 PM,Sacramento Kings,123,Minnesota Timberwolves,117
Sat Apr 1 2017,10:00 PM,Phoenix Suns,117,Portland Trail Blazers,130
Sun Apr 2 2017,6:00 PM,Atlanta Hawks,82,Brooklyn Nets,91
Sun Apr 2 2017,6:00 PM,Indiana Pacers,130,Cleveland Cavaliers,135
Sun Apr 2 2017,8:00 PM,Washington Wizards,115,Golden State Warriors,139
Sun Apr 2 2017,3:30 PM,Memphis Grizzlies,103,Los Angeles Lakers,108
Sun Apr 2 2017,6:00 PM,Denver Nuggets,116,Miami Heat,113
Sun Apr 2 2017,3:30 PM,Dallas Mavericks,109,Milwaukee Bucks,105
Sun Apr 2 2017,6:00 PM,Chicago Bulls,117,New Orleans Pelicans,110
Sun Apr 2 2017,1:00 PM,Boston Celtics,110,New York Knicks,94
Sun Apr 2 2017,3:00 PM,Charlotte Hornets,113,Oklahoma City Thunder,101
Sun Apr 2 2017,9:00 PM,Houston Rockets,123,Phoenix Suns,116
Sun Apr 2 2017,3:30 PM,Utah Jazz,103,San Antonio Spurs,109
Sun Apr 2 2017,6:00 PM,Philadelphia 76ers,105,Toronto Raptors,113
Mon Apr 3 2017,7:00 PM,Portland Trail Blazers,109,Minnesota Timberwolves,110
Tue Apr 4 2017,7:00 PM,Orlando Magic,102,Cleveland Cavaliers,122
Tue Apr 4 2017,10:30 PM,Minnesota Timberwolves,107,Golden State Warriors,121
Tue Apr 4 2017,7:00 PM,Toronto Raptors,90,Indiana Pacers,108
Tue Apr 4 2017,8:00 PM,Denver Nuggets,134,New Orleans Pelicans,131
Tue Apr 4 2017,8:00 PM,Chicago Bulls,91,New York Knicks,100
Tue Apr 4 2017,8:00 PM,Milwaukee Bucks,79,Oklahoma City Thunder,110
Tue Apr 4 2017,7:00 PM,Brooklyn Nets,141,Philadelphia 76ers,118
Tue Apr 4 2017,10:30 PM,Dallas Mavericks,87,Sacramento Kings,98
Tue Apr 4 2017,8:30 PM,Memphis Grizzlies,89,San Antonio Spurs,95
Tue Apr 4 2017,9:00 PM,Portland Trail Blazers,87,Utah Jazz,106
Tue Apr 4 2017,7:00 PM,Charlotte Hornets,111,Washington Wizards,118
Wed Apr 5 2017,8:00 PM,Cleveland Cavaliers,114,Boston Celtics,91
Wed Apr 5 2017,7:00 PM,Miami Heat,112,Charlotte Hornets,99
Wed Apr 5 2017,7:30 PM,Toronto Raptors,105,Detroit Pistons,102
Wed Apr 5 2017,8:00 PM,Denver Nuggets,104,Houston Rockets,110
Wed Apr 5 2017,10:30 PM,Dallas Mavericks,101,Los Angeles Clippers,112
Wed Apr 5 2017,8:00 PM,Oklahoma City Thunder,103,Memphis Grizzlies,100
Wed Apr 5 2017,10:00 PM,Golden State Warriors,120,Phoenix Suns,111
Wed Apr 5 2017,8:30 PM,Los Angeles Lakers,102,San Antonio Spurs,95
Thu Apr 6 2017,8:00 PM,Boston Celtics,116,Atlanta Hawks,123
Thu Apr 6 2017,7:00 PM,Milwaukee Bucks,89,Indiana Pacers,104
Thu Apr 6 2017,7:30 PM,Washington Wizards,106,New York Knicks,103
Thu Apr 6 2017,7:00 PM,Brooklyn Nets,107,Orlando Magic,115
Thu Apr 6 2017,7:00 PM,Chicago Bulls,102,Philadelphia 76ers,90
Thu Apr 6 2017,10:30 PM,Minnesota Timberwolves,98,Portland Trail Blazers,105
Fri Apr 7 2017,7:30 PM,Atlanta Hawks,,Cleveland Cavaliers,
Fri Apr 7 2017,8:30 PM,San Antonio Spurs,,Dallas Mavericks,
Fri Apr 7 2017,9:00 PM,New Orleans Pelicans,,Denver Nuggets,
Fri Apr 7 2017,8:00 PM,Detroit Pistons,,Houston Rockets,
Fri Apr 7 2017,10:30 PM,Sacramento Kings,,Los Angeles Lakers,
Fri Apr 7 2017,8:00 PM,New York Knicks,,Memphis Grizzlies,
Fri Apr 7 2017,10:00 PM,Oklahoma City Thunder,,Phoenix Suns,
Fri Apr 7 2017,7:30 PM,Miami Heat,,Toronto Raptors,
Fri Apr 7 2017,9:00 PM,Minnesota Timberwolves,,Utah Jazz,
Sat Apr 8 2017,5:00 PM,Chicago Bulls,,Brooklyn Nets,
Sat Apr 8 2017,6:00 PM,Boston Celtics,,Charlotte Hornets,
Sat Apr 8 2017,10:30 PM,New Orleans Pelicans,,Golden State Warriors,
