Date,Vteam,VPTS,Hteam,HPTS
2017-03-20 08:00:00,Denver Nuggets,124.0,Houston Rockets,125.0
2017-03-20 10:30:00,New York Knicks,105.0,Los Angeles Clippers,114.0
2017-03-21 07:00:00,Chicago Bulls,120.0,Toronto Raptors,122.0
2017-03-21 07:30:00,Detroit Pistons,96.0,Brooklyn Nets,98.0
2017-03-21 07:30:00,Phoenix Suns,97.0,Miami Heat,112.0
2017-03-21 08:00:00,Memphis Grizzlies,82.0,New Orleans Pelicans,95.0
2017-03-21 08:30:00,Golden State Warriors,112.0,Dallas Mavericks,87.0
2017-03-21 09:30:00,San Antonio Spurs,100.0,Minnesota Timberwolves,93.0
2017-03-21 10:00:00,Milwaukee Bucks,93.0,Portland Trail Blazers,90.0
2017-03-21 10:30:00,Los Angeles Clippers,133.0,Los Angeles Lakers,109.0
2017-03-22 07:00:00,Charlotte Hornets,109.0,Orlando Magic,102.0
2017-03-22 07:30:00,Indiana Pacers,100.0,Boston Celtics,109.0
2017-03-22 08:00:00,Atlanta Hawks,100.0,Washington Wizards,104.0
2017-03-22 08:00:00,Detroit Pistons,95.0,Chicago Bulls,117.0
2017-03-22 08:00:00,Philadelphia 76ers,97.0,Oklahoma City Thunder,122.0
2017-03-22 09:00:00,Cleveland Cavaliers,113.0,Denver Nuggets,126.0
2017-03-22 10:30:00,Milwaukee Bucks,116.0,Sacramento Kings,98.0
2017-03-22 10:30:00,New York Knicks,101.0,Utah Jazz,108.0
2017-03-23 07:30:00,Phoenix Suns,98.0,Brooklyn Nets,126.0
2017-03-23 07:30:00,Toronto Raptors,101.0,Miami Heat,84.0
2017-03-23 08:30:00,Los Angeles Clippers,95.0,Dallas Mavericks,97.0
2017-03-23 08:30:00,Memphis Grizzlies,90.0,San Antonio Spurs,97.0
2017-03-23 10:00:00,New York Knicks,95.0,Portland Trail Blazers,110.0
2017-03-24 07:00:00,Denver Nuggets,125.0,Indiana Pacers,117.0
2017-03-24 07:00:00,Cleveland Cavaliers,112.0,Charlotte Hornets,105.0
2017-03-24 07:00:00,Brooklyn Nets,108.0,Washington Wizards,129.0
2017-03-24 07:00:00,Detroit Pistons,87.0,Orlando Magic,115.0
2017-03-24 07:30:00,Phoenix Suns,120.0,Boston Celtics,130.0
2017-03-24 08:00:00,New Orleans Pelicans,107.0,Houston Rockets,117.0
2017-03-24 08:00:00,Atlanta Hawks,97.0,Milwaukee Bucks,100.0
2017-03-24 08:00:00,Philadelphia 76ers,117.0,Chicago Bulls,107.0
2017-03-24 10:30:00,Sacramento Kings,100.0,Golden State Warriors,114.0
2017-03-24 10:30:00,Minnesota Timberwolves,119.0,Los Angeles Lakers,130.0
2017-03-25 03:30:00,Utah Jazz,95.0,Los Angeles Clippers,108.0
2017-03-25 07:30:00,Washington Wizards,127.0,Cleveland Cavaliers,115.0
2017-03-25 08:30:00,Toronto Raptors,94.0,Dallas Mavericks,86.0
2017-03-25 08:30:00,New York Knicks,98.0,San Antonio Spurs,106.0
2017-03-25 10:00:00,Minnesota Timberwolves,100.0,Portland Trail Blazers,112.0
2017-03-26 01:00:00,Brooklyn Nets,107.0,Atlanta Hawks,92.0
2017-03-26 01:00:00,Phoenix Suns,106.0,Charlotte Hornets,120.0
2017-03-26 03:30:00,Chicago Bulls,109.0,Milwaukee Bucks,94.0
2017-03-26 03:30:00,Sacramento Kings,98.0,Los Angeles Clippers,97.0
2017-03-26 03:30:00,Oklahoma City Thunder,125.0,Houston Rockets,137.0
2017-03-26 06:00:00,Miami Heat,108.0,Boston Celtics,112.0
2017-03-26 06:00:00,Philadelphia 76ers,94.0,Indiana Pacers,107.0
2017-03-26 08:00:00,Memphis Grizzlies,94.0,Golden State Warriors,106.0
2017-03-26 08:00:00,New Orleans Pelicans,115.0,Denver Nuggets,90.0
2017-03-26 09:30:00,Portland Trail Blazers,97.0,Los Angeles Lakers,81.0
2017-03-27 07:30:00,Orlando Magic,112.0,Toronto Raptors,131.0
2017-03-27 07:30:00,Detroit Pistons,95.0,New York Knicks,109.0
2017-03-27 08:00:00,Cleveland Cavaliers,74.0,San Antonio Spurs,103.0
2017-03-27 08:30:00,Oklahoma City Thunder,92.0,Dallas Mavericks,91.0
2017-03-27 10:30:00,New Orleans Pelicans,100.0,Utah Jazz,108.0
2017-03-27 10:30:00,Memphis Grizzlies,90.0,Sacramento Kings,91.0
2017-03-28 07:00:00,Minnesota Timberwolves,115.0,Indiana Pacers,114.0
2017-03-28 07:00:00,Milwaukee Bucks,118.0,Charlotte Hornets,108.0
2017-03-28 07:30:00,Miami Heat,97.0,Detroit Pistons,96.0
2017-03-28 07:30:00,Philadelphia 76ers,106.0,Brooklyn Nets,101.0
2017-03-28 07:30:00,Phoenix Suns,91.0,Atlanta Hawks,95.0
2017-03-28 08:00:00,Golden State Warriors,113.0,Houston Rockets,106.0
2017-03-28 10:00:00,Denver Nuggets,113.0,Portland Trail Blazers,122.0
2017-03-28 10:30:00,Washington Wizards,119.0,Los Angeles Lakers,108.0
2017-03-29 07:00:00,Oklahoma City Thunder,114.0,Orlando Magic,106.0
2017-03-29 07:00:00,Atlanta Hawks,99.0,Philadelphia 76ers,92.0
2017-03-29 07:30:00,Miami Heat,105.0,New York Knicks,88.0
2017-03-29 07:30:00,Milwaukee Bucks,103.0,Boston Celtics,100.0
2017-03-29 07:30:00,Charlotte Hornets,110.0,Toronto Raptors,106.0
2017-03-29 08:00:00,Indiana Pacers,97.0,Memphis Grizzlies,110.0
2017-03-29 08:00:00,Dallas Mavericks,118.0,New Orleans Pelicans,121.0
2017-03-29 09:30:00,Golden State Warriors,110.0,San Antonio Spurs,98.0
2017-03-29 10:30:00,Utah Jazz,112.0,Sacramento Kings,82.0
2017-03-29 10:30:00,Washington Wizards,124.0,Los Angeles Clippers,133.0
2017-03-30 07:30:00,Brooklyn Nets,89.0,Detroit Pistons,90.0
2017-03-30 08:00:00,Cleveland Cavaliers,93.0,Chicago Bulls,99.0
2017-03-30 08:00:00,Los Angeles Lakers,104.0,Minnesota Timberwolves,119.0
2017-03-30 10:00:00,Los Angeles Clippers,124.0,Phoenix Suns,118.0
2017-03-30 10:30:00,Houston Rockets,107.0,Portland Trail Blazers,117.0
2017-03-31 07:00:00,Indiana Pacers,100.0,Toronto Raptors,111.0
2017-03-31 07:00:00,Denver Nuggets,114.0,Charlotte Hornets,122.0
2017-03-31 07:30:00,Orlando Magic,116.0,Boston Celtics,117.0
2017-03-31 07:30:00,Philadelphia 76ers,105.0,Cleveland Cavaliers,122.0
2017-03-31 08:00:00,Dallas Mavericks,90.0,Memphis Grizzlies,99.0
2017-03-31 08:00:00,New York Knicks,98.0,Miami Heat,94.0
2017-03-31 08:00:00,Detroit Pistons,105.0,Milwaukee Bucks,108.0
2017-03-31 08:00:00,Sacramento Kings,89.0,New Orleans Pelicans,117.0
2017-03-31 08:00:00,San Antonio Spurs,100.0,Oklahoma City Thunder,95.0
2017-03-31 09:00:00,Washington Wizards,88.0,Utah Jazz,95.0
2017-03-31 10:30:00,Houston Rockets,98.0,Golden State Warriors,107.0
2017-04-01 03:30:00,Los Angeles Lakers,104.0,Los Angeles Clippers,115.0
2017-04-01 05:00:00,Atlanta Hawks,104.0,Chicago Bulls,106.0
2017-04-01 06:00:00,Orlando Magic,111.0,Brooklyn Nets,121.0
2017-04-01 08:00:00,Sacramento Kings,123.0,Minnesota Timberwolves,117.0
2017-04-01 10:00:00,Phoenix Suns,117.0,Portland Trail Blazers,130.0
2017-04-02 01:00:00,Boston Celtics,110.0,New York Knicks,94.0
2017-04-02 03:00:00,Charlotte Hornets,113.0,Oklahoma City Thunder,101.0
2017-04-02 03:30:00,Dallas Mavericks,109.0,Milwaukee Bucks,105.0
2017-04-02 03:30:00,Utah Jazz,103.0,San Antonio Spurs,109.0
2017-04-02 03:30:00,Memphis Grizzlies,103.0,Los Angeles Lakers,108.0
2017-04-02 06:00:00,Chicago Bulls,117.0,New Orleans Pelicans,110.0
2017-04-02 06:00:00,Indiana Pacers,130.0,Cleveland Cavaliers,135.0
2017-04-02 06:00:00,Atlanta Hawks,82.0,Brooklyn Nets,91.0
2017-04-02 06:00:00,Denver Nuggets,116.0,Miami Heat,113.0
2017-04-02 06:00:00,Philadelphia 76ers,105.0,Toronto Raptors,113.0
2017-04-02 08:00:00,Washington Wizards,115.0,Golden State Warriors,139.0
2017-04-02 09:00:00,Houston Rockets,123.0,Phoenix Suns,116.0
2017-04-03 07:00:00,Portland Trail Blazers,109.0,Minnesota Timberwolves,110.0
2017-04-04 07:00:00,Brooklyn Nets,141.0,Philadelphia 76ers,118.0
2017-04-04 07:00:00,Toronto Raptors,90.0,Indiana Pacers,108.0
2017-04-04 07:00:00,Charlotte Hornets,111.0,Washington Wizards,118.0
2017-04-04 07:00:00,Orlando Magic,102.0,Cleveland Cavaliers,122.0
2017-04-04 08:00:00,Denver Nuggets,134.0,New Orleans Pelicans,131.0
2017-04-04 08:00:00,Chicago Bulls,91.0,New York Knicks,100.0
2017-04-04 08:00:00,Milwaukee Bucks,79.0,Oklahoma City Thunder,110.0
2017-04-04 08:30:00,Memphis Grizzlies,89.0,San Antonio Spurs,95.0
